iter	Passed	Remaining
0	51	77917
1	126	94936
2	185	92565
3	231	86604
4	243	72870
5	297	74189
6	358	76431
7	414	77306
8	470	77903
9	543	80982
10	602	81603
11	648	80457
12	702	80351
13	762	80936
14	819	81178
15	883	81951
16	944	82415
17	1000	82390
18	1061	82727
19	1131	83741
20	1235	87032
21	1270	85356
22	1334	85718
23	1406	86479
24	1513	89267
25	1572	89143
26	1661	90664
27	1719	90420
28	1780	90292
29	1834	89907
30	1887	89443
31	1947	89348
32	2004	89123
33	2066	89090
34	2126	89008
35	2185	88857
36	2203	87113
37	2263	87073
38	2324	87062
39	2387	87142
40	2440	86851
41	2493	86569
42	2545	86244
43	2602	86111
44	2666	86208
45	2720	86007
46	2781	85997
47	2844	86051
48	2904	86006
49	2961	85885
50	3013	85611
51	3063	85315
52	3121	85213
53	3175	85044
54	3242	85201
55	3303	85189
56	3363	85147
57	3426	85186
58	3481	85019
59	3538	84931
60	3594	84793
61	3655	84794
62	3676	83855
63	3741	83946
64	3795	83800
65	3851	83684
66	3907	83563
67	3969	83585
68	4030	83598
69	4086	83481
70	4144	83420
71	4199	83294
72	4257	83234
73	4312	83099
74	4367	82981
75	4428	82980
76	4488	82947
77	4550	82951
78	4616	83044
79	4682	83119
80	4738	83016
81	4797	82960
82	4855	82891
83	4907	82720
84	4967	82693
85	5024	82605
86	5082	82539
87	5142	82511
88	5196	82390
89	5258	82378
90	5311	82236
91	5379	82330
92	5454	82516
93	5522	82604
94	5582	82555
95	5637	82447
96	5694	82365
97	5753	82308
98	5809	82213
99	5869	82174
100	5930	82144
101	5991	82112
102	6043	81970
103	6106	81964
104	6166	81924
105	6226	81887
106	6284	81817
107	6347	81808
108	6408	81780
109	6466	81716
110	6524	81643
111	6582	81576
112	6640	81512
113	6694	81390
114	6755	81362
115	6810	81258
116	6860	81097
117	6923	81084
118	6981	81014
119	7040	80963
120	7095	80866
121	7149	80757
122	7200	80606
123	7258	80544
124	7318	80504
125	7378	80459
126	7424	80269
127	7476	80136
128	7550	80242
129	7604	80139
130	7665	80108
131	7720	80009
132	7777	79936
133	7835	79873
134	7888	79760
135	7949	79727
136	8007	79668
137	8064	79589
138	8126	79570
139	8185	79519
140	8243	79452
141	8298	79366
142	8353	79275
143	8416	79259
144	8469	79145
145	8526	79077
146	8585	79020
147	8644	78969
148	8700	78886
149	8751	78762
150	8813	78737
151	8874	78700
152	8926	78585
153	8975	78449
154	9031	78369
155	9088	78299
156	9148	78258
157	9207	78206
158	9262	78117
159	9330	78141
160	9387	78075
161	9445	78014
162	9508	77992
163	9562	77900
164	9632	77934
165	9708	78017
166	9762	77922
167	9824	77897
168	9880	77816
169	9940	77766
170	9991	77653
171	10048	77581
172	10105	77512
173	10168	77489
174	10228	77445
175	10288	77397
176	10347	77346
177	10411	77325
178	10497	77470
179	10568	77499
180	10649	77604
181	10730	77707
182	10789	77645
183	10849	77600
184	10911	77561
185	10974	77528
186	11033	77468
187	11091	77406
188	11150	77345
189	11210	77292
190	11266	77216
191	11321	77128
192	11373	77021
193	11433	76970
194	11492	76908
195	11548	76833
196	11602	76743
197	11663	76694
198	11714	76587
199	11769	76500
200	11845	76553
201	11919	76591
202	11996	76644
203	12055	76585
204	12110	76504
205	12162	76402
206	12224	76356
207	12280	76283
208	12337	76208
209	12401	76181
210	12442	76008
211	12495	75913
212	12564	75919
213	12632	75915
214	12690	75850
215	12704	75523
216	12732	75280
217	12800	75274
218	12864	75250
219	12944	75314
220	13011	75299
221	13070	75246
222	13128	75179
223	13191	75143
224	13250	75084
225	13308	75024
226	13364	74945
227	13412	74825
228	13472	74777
229	13535	74739
230	13592	74668
231	13653	74622
232	13708	74544
233	13768	74493
234	13828	74438
235	13881	74349
236	13951	74350
237	14021	74350
238	14083	74308
239	14096	74005
240	14148	73912
241	14208	73859
242	14264	73789
243	14319	73711
244	14379	73660
245	14435	73587
246	14494	73530
247	14548	73446
248	14612	73416
249	14675	73378
250	14734	73322
251	14790	73245
252	14852	73206
253	14909	73139
254	14966	73071
255	15025	73013
256	15076	72919
257	15134	72854
258	15191	72788
259	15244	72706
260	15302	72643
261	15358	72573
262	15417	72514
263	15470	72429
264	15527	72362
265	15585	72301
266	15640	72226
267	15701	72182
268	15732	71994
269	15791	71939
270	15849	71878
271	15912	71839
272	15963	71746
273	16019	71680
274	16074	71604
275	16139	71576
276	16196	71509
277	16254	71447
278	16308	71373
279	16362	71291
280	16415	71210
281	16470	71139
282	16528	71076
283	16588	71024
284	16644	70956
285	16703	70900
286	16765	70859
287	16792	70668
288	16845	70587
289	16889	70470
290	16944	70399
291	17004	70346
292	17060	70278
293	17116	70214
294	17176	70159
295	17239	70121
296	17297	70064
297	17356	70006
298	17415	69953
299	17477	69911
300	17533	69841
301	17595	69797
302	17646	69712
303	17705	69658
304	17765	69606
305	17825	69554
306	17880	69485
307	17928	69386
308	17980	69302
309	18041	69256
310	18094	69179
311	18144	69089
312	18205	69040
313	18306	69143
314	18358	69063
315	18419	69015
316	18474	68943
317	18530	68878
318	18592	68833
319	18641	68741
320	18696	68671
321	18751	68599
322	18814	68558
323	18871	68497
324	18924	68420
325	18951	68249
326	19005	68177
327	19031	68002
328	19088	67941
329	19144	67874
330	19201	67813
331	19259	67755
332	19315	67692
333	19374	67635
334	19435	67589
335	19493	67532
336	19556	67490
337	19612	67425
338	19669	67362
339	19723	67292
340	19781	67234
341	19841	67183
342	19899	67123
343	19947	67032
344	20007	66980
345	20076	66961
346	20143	66933
347	20204	66884
348	20267	66840
349	20328	66794
350	20392	66755
351	20480	66795
352	20548	66767
353	20602	66696
354	20662	66645
355	20720	66585
356	20770	66501
357	20829	66446
358	20880	66363
359	20933	66290
360	20999	66255
361	21059	66203
362	21118	66147
363	21176	66088
364	21238	66043
365	21296	65985
366	21358	65938
367	21433	65932
368	21576	66133
369	21668	66178
370	21754	66200
371	21835	66209
372	21906	66188
373	21995	66220
374	22057	66171
375	22108	66089
376	22155	65995
377	22212	65931
378	22264	65854
379	22315	65771
380	22371	65704
381	22431	65650
382	22488	65586
383	22549	65533
384	22618	65504
385	22679	65452
386	22742	65405
387	22802	65352
388	22857	65282
389	22917	65228
390	22975	65167
391	23031	65100
392	23091	65043
393	23152	64990
394	23220	64957
395	23291	64932
396	23359	64899
397	23422	64853
398	23493	64828
399	23547	64756
400	23611	64711
401	23689	64703
402	23750	64652
403	23820	64622
404	23891	64594
405	23955	64549
406	24018	64500
407	24076	64440
408	24137	64387
409	24203	64346
410	24265	64293
411	24327	64243
412	24387	64188
413	24439	64108
414	24495	64042
415	24563	64007
416	24628	63963
417	24698	63933
418	24789	63955
419	24841	63879
