iter	Logloss
0	0.6606926589
1	0.6221835748
2	0.5965465082
3	0.5697955482
4	0.556042989
5	0.5391820949
6	0.517890551
7	0.4947228601
8	0.4788391929
9	0.4676637293
10	0.452745752
11	0.4430653753
12	0.4264315103
13	0.4145205849
14	0.4078161157
15	0.3900867444
16	0.3846456351
17	0.3772812364
18	0.3674814428
19	0.3567260138
20	0.3509970851
21	0.3483575235
22	0.3445243409
23	0.3357893193
24	0.3295081452
25	0.3262175393
26	0.3227894747
27	0.314971868
28	0.3119831731
29	0.3057305929
30	0.3034434596
31	0.3013664947
32	0.2987494427
33	0.2953195051
34	0.2934636803
35	0.2906455965
36	0.2898699996
37	0.2842385798
38	0.2791694131
39	0.2776672736
40	0.2744285307
41	0.2717633273
42	0.2705987597
43	0.2694888099
44	0.2686346289
45	0.2663776998
46	0.2644015132
47	0.2623467081
48	0.2616083069
49	0.2583459993
50	0.2548792276
51	0.253358492
52	0.2519727752
53	0.2501317658
54	0.2491668554
55	0.2460370736
56	0.2452226419
57	0.2425583299
58	0.2416610489
59	0.2405158445
60	0.2395179725
61	0.2384095779
62	0.2381755335
63	0.2368779143
64	0.2359732468
65	0.2349795454
66	0.2339365956
67	0.2328831006
68	0.2321158935
69	0.2311180074
70	0.2303298178
71	0.2294525919
72	0.2286345039
73	0.2276498908
74	0.2265344288
75	0.2256547962
76	0.2241452897
77	0.2232508693
78	0.2223297414
79	0.2216989677
80	0.2210200936
81	0.2203526654
82	0.2198198849
83	0.2194191047
84	0.2186020889
85	0.2179542605
86	0.2175636418
87	0.216676146
88	0.2163184399
89	0.2157384996
90	0.215059327
91	0.2144076738
92	0.2139981396
93	0.2135289029
94	0.212897308
95	0.212513674
96	0.211749713
97	0.2112756288
98	0.2106545954
99	0.2100568767
100	0.2097336712
101	0.2092893146
102	0.2087516247
103	0.2083532566
104	0.2078678419
105	0.2072407854
106	0.206849814
107	0.2065335813
108	0.2062847593
109	0.2056765299
110	0.2052967217
111	0.2049000106
112	0.204565305
113	0.2042738615
114	0.203903506
115	0.2034701035
116	0.2031985715
117	0.2028402634
118	0.2024292764
119	0.201171633
120	0.2008024179
121	0.2005397403
122	0.1999841138
123	0.1997867397
124	0.1993399801
125	0.1989990167
126	0.1986544297
127	0.1985048374
128	0.198183651
129	0.1978255635
130	0.1975174721
131	0.1971963559
132	0.1969403693
133	0.1965632245
134	0.1958150789
135	0.1955645909
136	0.1951061448
137	0.1947246347
138	0.1943398727
139	0.1941511536
140	0.1938716921
141	0.1934513408
142	0.1931066838
143	0.1929414098
144	0.1928280943
145	0.1925338957
146	0.1923496138
147	0.1920142227
148	0.1918617997
149	0.191686494
150	0.1914972279
151	0.1912550775
152	0.1910384408
153	0.1904690827
154	0.1897971325
155	0.1894531193
156	0.1891511813
157	0.1888720059
158	0.1886160401
159	0.1884639279
160	0.1882998212
161	0.1880347511
162	0.1876629223
163	0.1873803892
164	0.1871421166
165	0.1869462117
166	0.1859802325
167	0.1855255795
168	0.185293136
169	0.1851643593
170	0.1848521455
171	0.1843069455
172	0.1841856745
173	0.1837008856
174	0.1834569207
175	0.1831805418
176	0.1829751264
177	0.1828051608
178	0.1824598
179	0.1822540025
180	0.1820789775
181	0.1819706799
182	0.1817713843
183	0.1815512332
184	0.1813553332
185	0.1812095048
186	0.1807259414
187	0.1805150733
188	0.180335895
189	0.1800445597
190	0.179852578
191	0.1797654818
192	0.1795984761
193	0.1793435368
194	0.1790726732
195	0.1786170914
196	0.1784778361
197	0.1783277687
198	0.1779156581
199	0.1773636813
200	0.1771860064
201	0.1769188438
202	0.176745153
203	0.1766137211
204	0.1765042524
205	0.1764561003
206	0.1762126894
207	0.176030606
208	0.1758038239
209	0.1756837627
210	0.1756459229
211	0.175461657
212	0.1751778301
213	0.1747306743
214	0.174549133
215	0.1745164156
216	0.1744832727
217	0.1743784227
218	0.1743094801
219	0.1741669751
220	0.1739728581
221	0.1739031938
222	0.173813894
223	0.1736211432
224	0.1734131849
225	0.1731059006
226	0.1729167635
227	0.1728440939
228	0.1726476146
229	0.1724769547
230	0.1722807597
231	0.1721076243
232	0.1719230267
233	0.171669202
234	0.1715333886
235	0.1714630196
236	0.1711479367
237	0.1710229153
238	0.1709491961
239	0.1709486354
240	0.1707267302
241	0.1705474442
242	0.1704977787
243	0.1702682502
244	0.1701258035
245	0.1699952828
246	0.169912532
247	0.1696862561
248	0.1695603345
249	0.1691828949
250	0.1688939499
251	0.1687736397
252	0.1686589633
253	0.168316547
254	0.1680657811
255	0.1679313982
256	0.1677805183
257	0.1675731571
258	0.1675178967
259	0.167487902
260	0.1674172487
261	0.1665664797
262	0.1664208199
263	0.1660453538
264	0.1658693495
265	0.1657102056
266	0.1653596742
267	0.1650953184
268	0.1650812347
269	0.1650480419
270	0.1648862008
271	0.164820289
272	0.1647478853
273	0.1645897107
274	0.1645620126
275	0.1644833834
276	0.1643162371
277	0.1639460343
278	0.1636233677
279	0.163517104
280	0.1633988582
281	0.1633658039
282	0.1631773555
283	0.1629382804
284	0.1626393455
285	0.1625649179
286	0.1624566588
287	0.1624521118
288	0.1623533223
289	0.1623486857
290	0.1621626429
291	0.1620077622
292	0.1612127094
293	0.161062418
294	0.1607315325
295	0.1604833403
296	0.1603324926
297	0.1601633128
298	0.1598705404
299	0.1597400412
300	0.1596533603
301	0.1594808495
302	0.1593330502
303	0.1590756768
304	0.1588646297
305	0.1587644153
306	0.1587194199
307	0.1586526003
308	0.1585759913
309	0.1582277335
310	0.1581612635
311	0.1579458278
312	0.1578248134
313	0.157631444
314	0.1574495519
315	0.1570886395
316	0.1569774948
317	0.1569069568
318	0.1566678238
319	0.1566167556
320	0.156540898
321	0.1564213188
322	0.1563051452
323	0.1560800855
324	0.1555513025
325	0.155534497
326	0.1552987268
327	0.1552850081
328	0.1551022757
329	0.1548040184
330	0.1544765199
331	0.1544079396
332	0.1543744569
333	0.154173175
334	0.1540904755
335	0.1538567018
336	0.1536736055
337	0.1536680785
338	0.1535864576
339	0.1530230387
340	0.1529887408
341	0.1529195013
342	0.1528986858
343	0.1528012354
344	0.1526812233
345	0.1525450798
346	0.1523185626
347	0.152241753
348	0.1519892536
349	0.1519135952
350	0.1518805575
351	0.1517766485
352	0.1516319042
353	0.1514852438
354	0.1514269075
355	0.1513791474
356	0.1513490031
357	0.1510945916
358	0.1510573791
359	0.1510029473
360	0.1509210571
361	0.1506524913
362	0.1505175745
363	0.1503556153
364	0.1501206009
365	0.1498694528
366	0.1496460604
367	0.1496344205
